epoch,accuracy,loss,val_accuracy,val_loss
0,0.8545910120010376,0.04514356330037117,0.8711185455322266,0.039918020367622375
1,0.8588480949401855,0.042173467576503754,0.8784641027450562,0.03863100707530975
2,0.8754590749740601,0.040605608373880386,0.8841402530670166,0.038463521748781204
3,0.8802170157432556,0.03842481970787048,0.885141909122467,0.03737972304224968
4,0.8787980079650879,0.03810788318514824,0.8874791264533997,0.03687049821019173
5,0.8848080039024353,0.03722282126545906,0.8884807825088501,0.03656728193163872
6,0.8838063478469849,0.03679044172167778,0.8924874663352966,0.03776363655924797
7,0.8870617747306824,0.03633788973093033,0.8911519050598145,0.03837001323699951
8,0.8888981342315674,0.0352800153195858,0.8918197154998779,0.03903954103589058
9,0.8891485929489136,0.03542854264378548,0.8914858102798462,0.03810197487473488
10,0.8939065337181091,0.03419993072748184,0.8924874663352966,0.03786024823784828
11,0.8954924941062927,0.0345168262720108,0.8908180594444275,0.03731550648808479
