epoch,accuracy,loss,val_accuracy,val_loss
0,0.4763922393321991,1.9744751966754848e-07,0.5153846144676208,5.205892383841615e-10
1,0.4741727113723755,5.0185789746137743e-08,0.5307692289352417,4.538977180224002e-11
2,0.4979822337627411,3.349647004213807e-09,0.5269230604171753,4.338040343609961e-11
3,0.5020177364349365,2.761853634680733e-09,0.5307692289352417,3.940279699743421e-11
4,0.501210629940033,3.1879423545433383e-09,0.5423076748847961,5.35830789460956e-11
5,0.5094834566116333,3.0713873666599056e-09,0.5,2.3114947456104318e-11
6,0.4737691581249237,2.1485899281969978e-08,0.3461538553237915,2.835880315299466e-11
7,0.42514124512672424,5.740797837106015e-10,0.32692307233810425,5.6708665541194136e-11
8,0.42493945360183716,2.1905961489210313e-09,0.38461539149284363,4.42418740531636e-11
9,0.42514124512672424,8.892952485517469e-10,0.3692307770252228,8.602920459344077e-12
10,0.43744954466819763,7.458755280076446e-10,0.4000000059604645,6.725635239707151e-12
11,0.438660204410553,7.848226513118561e-10,0.4000000059604645,9.657837897469879e-12
12,0.44410815834999084,5.976538708374335e-10,0.38846153020858765,6.364444995327068e-12
13,0.4447134733200073,3.7516595385866935e-10,0.4038461446762085,4.392382291218411e-12
14,0.44632768630981445,7.329113982379454e-10,0.4076923131942749,1.0052162227602857e-11
15,0.4430992603302002,7.200804952312012e-10,0.4153846204280853,3.126929054228511e-12
16,0.4449152648448944,3.654598013103083e-10,0.4038461446762085,4.420631395662955e-12
17,0.456820011138916,2.2105783870074447e-10,0.4307692348957062,4.687864679775444e-12
18,0.451977401971817,4.2579717529633854e-10,0.4115384519100189,7.23490755152878e-12
19,0.47941887378692627,1.780039671217537e-09,0.4653846025466919,2.2514386188721147e-12
20,0.4786117970943451,2.905454210555547e-10,0.5269230604171753,1.5823954559873732e-12
21,0.47497981786727905,2.6099095107312564e-10,0.48076921701431274,3.021833000840801e-12
22,0.47074252367019653,1.5838194644679504e-10,0.4730769097805023,1.714462339458267e-12
23,0.47538337111473083,2.238226409767563e-10,0.48846152424812317,2.748843904235021e-12
24,0.48224374651908875,1.950686695506576e-10,0.45769229531288147,1.1958414944043816e-12
25,0.4909200966358185,2.2183756220872652e-10,0.5,6.757235829907282e-12
26,0.47276028990745544,1.5553487664465848e-10,0.4346153736114502,4.03003108315203e-12
27,0.47699758410453796,2.0461389527159923e-10,0.48846152424812317,1.3045281001267117e-12
28,0.4899112284183502,1.0208307116288395e-10,0.48461538553237915,2.6276279329467966e-12
29,0.483252614736557,1.0391825178146519e-09,0.5,7.041671390949078e-13
